"tsID","n.steps","age.range","tot.mean","total_N","slope","slope.se","slope.p","adj.r.sq","df","sig","slope.min","slope.max","overlap.slope"
"10","44","1.14086","-0.757572013027954","1590","-0.002398038","0.007464895","0.7496202","-0.021300130799774","42","FALSE","-0.009862933","0.005066857","FALSE"
"77","7","2.72511363636364","3.01956555642339","400","-0.05427483","0.04732767","0.3033668","0.0498999020445308","5","FALSE","-0.1016025","-0.00694716","FALSE"
"78","6","4.98425","1.54750633888527","400","0.3186692","0.247977","0.2681293","0.115266484209554","4","FALSE","0.0706922","0.5666462","TRUE"
"79","8","1.56269117647059","3.07714301336188","300","0.001121293","0.02567839","0.966587","-0.166296019843952","6","FALSE","-0.024557097","0.026799683","FALSE"
"80","6","6.44108823529412","1.48784981480102","400","0.04839466","0.3018036","0.8803763","-0.242016132255137","4","FALSE","-0.25340894","0.35019826","FALSE"
"205","8","0.2233","-1.97356983099931","997","0.3114993","0.1097607","0.02964527","0.501926740963087","6","FALSE","0.2017386","0.42126","FALSE"
"206","6","0.2233","-1.2953092408101","997","0.1357151","0.05476078","0.0683336","0.507005600328887","4","FALSE","0.08095432","0.19047588","FALSE"
"207","6","0.2233","-1.20314150893309","997","0.1346775","0.05660767","0.0760605","0.482417775096051","4","FALSE","0.07806983","0.19128517","FALSE"
"209","8","0.2233","-0.700808467098837","997","0.0433466","0.03471237","0.2582743","0.073993622166534","6","FALSE","0.00863423","0.07805897","FALSE"
"210","6","0.2233","0.167207242476134","997","0.04721082","0.1449601","0.7609904","-0.217709884029356","4","FALSE","-0.09774928","0.19217092","FALSE"
"295","6","1.488372093","4.00408372628931","814","0.06552604","0.02879027","0.0851636","0.45534237727585","4","FALSE","0.03673577","0.09431631","FALSE"
"327","7","2.256512","4.58739868437871","637","-0.04945045","0.1067182","0.6625669","-0.150590059275291","5","FALSE","-0.15616865","0.05726775","FALSE"
"338","6","1.53400384","4.41916028548115","306","0.03440533","0.03253034","0.3498629","0.0231700593386942","4","FALSE","0.00187499","0.06693567","FALSE"
"359","46","7.9109375","5.49775577659722","3600","-0.01707168","0.03920121","0.6653368","-0.0183379982339078","44","FALSE","-0.05627289","0.02212953","FALSE"
"361","36","8.166322","4.32216038478579","3600","0.1086838","0.1096912","0.3287749","-0.000522674494145559","34","FALSE","-0.00100740000000001","0.218375","FALSE"
"362","62","8.0466105","3.49462746030663","3600","0.06848283","0.03042711","0.02808044","0.0624864954334167","60","FALSE","0.03805572","0.09890994","FALSE"
"367","7","0.72","3.62139166213359","1022","0.1148021","0.1728531","0.5359848","-0.102716540584343","5","FALSE","-0.058051","0.2876552","FALSE"
"369","7","0.61","6.29958816972222","1022","-0.06270913","0.07176744","0.4222123","-0.0410348694243834","5","FALSE","-0.13447657","0.00905831","FALSE"
"381","7","0.146277001","1.00422439209139","3000","-0.03775659","0.212094","0.8656964","-0.192442187626815","5","FALSE","-0.24985059","0.17433741","FALSE"
"385","15","0.155933607","1.23144859473477","3000","0.05363994","0.1501672","0.7266727","-0.0664559778058682","13","FALSE","-0.09652726","0.20380714","FALSE"
"386","23","0.159","0.293714049585354","3000","0.1481921","0.08775019","0.1060538","0.0776466334100027","21","FALSE","0.06044191","0.23594229","FALSE"
"412","7","0.00105","2.89564522083016","752","-0.1544132","0.0470701","0.02194256","0.61932890852159","5","FALSE","-0.2014833","-0.1073431","FALSE"
"413","6","8e-04","3.37499228610793","752","-0.1051978","0.06273627","0.1688828","0.265973566654148","4","FALSE","-0.16793407","-0.04246153","FALSE"
"416","30","3.7e-05","2.6288719246262","5260","-0.0176024","0.01273729","0.1779116","0.0304183473281905","28","FALSE","-0.03033969","-0.00486511","FALSE"
"417","9","2.6e-05","2.20963811308846","5250","0.01480537","0.06535509","0.8272566","-0.134539476013015","7","FALSE","-0.05054972","0.08016046","FALSE"
"418","26","3.7e-05","2.37697608243898","12123","0.009583492","0.01222256","0.4406624","-0.0156497491634222","24","FALSE","-0.002639068","0.021806052","FALSE"
"419","23","3.5e-05","2.21745233185035","12120","-0.0155552","0.005760852","0.01340526","0.222363131416819","21","FALSE","-0.021316052","-0.009794348","FALSE"
"420","6","2.2e-05","3.14848751851014","2487","0.01794567","0.01143556","0.1916636","0.226324695345473","4","FALSE","0.00651011","0.02938123","FALSE"
"421","9","1.8e-05","2.60789187556017","2489","0.02717148","0.03009135","0.3965516","-0.0236268186879889","7","FALSE","-0.00291987","0.05726283","FALSE"
"427","38","1.83","0.92749709902929","9472","-0.3004967","0.1066091","0.007787431","0.158037363986196","36","FALSE","-0.4071058","-0.1938876","FALSE"
"428","26","1.83","0.143351271935876","9472","0.04991972","0.07805397","0.5285208","-0.0242111561130842","24","FALSE","-0.02813425","0.12797369","FALSE"
"431","9","5.59","-0.007905901081359","780","0.1173022","0.02176578","0.001020137","0.778051952887836","7","TRUE","0.09553642","0.13906798","FALSE"
"459","146","0.23703998","2.47495365190096","10748","0.005947756","0.1073053","0.955874","-0.0069229612989905","144","FALSE","-0.101357544","0.113253056","FALSE"
"464","10","0.101652","3.84279573350005","1183","0.09688247","0.2285399","0.6827933","-0.100283840991501","8","FALSE","-0.13165743","0.32542237","FALSE"
"468","33","8.79","0.578605656693337","8600","-0.01139731","0.01329986","0.3980492","-0.00837066023638111","31","FALSE","-0.02469717","0.00190255","FALSE"
"469","39","8.79","0.895476690651674","8600","-0.006734826","0.01278327","0.6014447","-0.0193798200186284","37","FALSE","-0.019518096","0.006048444","FALSE"
"474","12","3.5","4.51799448117494","623","-0.01494164","0.009776911","0.1574407","0.108269842868356","10","FALSE","-0.024718551","-0.005164729","FALSE"
"487","10","4.70596978","5.31578700078856","704","-0.2160007","0.08963538","0.0425234","0.348156510920032","8","FALSE","-0.30563608","-0.12636532","FALSE"
"488","10","4.70596978","4.94060140062331","703","-0.2142164","0.1115959","0.0911757","0.229765743059693","8","FALSE","-0.3258123","-0.1026205","FALSE"
"495","6","0.97","1.74508715130189","2216","-0.1035602","0.08719154","0.300646","0.0759063893161387","4","FALSE","-0.19075174","-0.01636866","FALSE"
"497","27","14.98","1.95443927796217","5685","0.02826725","0.06168433","0.6507267","-0.0313368078071763","25","FALSE","-0.03341708","0.08995158","FALSE"
"499","13","18","1.83754682396722","3320","-0.1258254","0.08226617","0.1543769","0.100405428626621","11","FALSE","-0.20809157","-0.04355923","FALSE"
"507","6","5.457122549","4.99339712154956","526","-0.06512631","0.1005656","0.5525366","-0.131378917483705","4","FALSE","-0.16569191","0.03543929","FALSE"
"512","6","1.88951","4.42808176731854","1245","0.07820865","0.08658431","0.4174632","-0.0382298720153127","4","FALSE","-0.00837565999999999","0.16479296","FALSE"
"513","20","2.5","4.66147065207613","1877","-0.004409572","0.01935774","0.8223741","-0.0525213713768469","18","FALSE","-0.023767312","0.014948168","FALSE"
"560","11","4.553179274","-0.455686600588822","991","-0.1560122","0.40276","0.7074925","-0.0928906772636382","9","FALSE","-0.5587722","0.2467478","FALSE"
"579","6","1.26941176470588","3.71054315008587","1118","0.0006089742","0.00329615","0.8624117","-0.239423462973414","4","FALSE","-0.0026871758","0.0039051242","FALSE"
"581","189","0.30239484","1.19288788175632","12986","-0.02052334","0.009831731","0.03820178","0.017545637055972","187","FALSE","-0.030355071","-0.010691609","FALSE"
"582","189","0.30239484","1.19288788175632","12986","-0.02052334","0.009831731","0.03820178","0.017545637055972","187","FALSE","-0.030355071","-0.010691609","FALSE"
"583","29","5e-05","6.50845783102289","18468","0.1213602","0.1044974","0.2556561","0.0123031935889119","27","FALSE","0.0168628","0.2258576","FALSE"
"605","6","4.53672","2.29709734173777","218","-0.000553733","0.001743664","0.7666987","-0.219259459168656","4","FALSE","-0.002297397","0.001189931","FALSE"
"606","6","4.53672","2.05097418141919","269","-0.0002872732","0.0006100921","0.6622648","-0.184352175181475","4","FALSE","-0.0008973653","0.0003228189","FALSE"
"607","6","4.53672","2.66788222728587","273","-0.0008941065","0.000710112","0.2764601","0.104800701087415","4","FALSE","-0.0016042185","-0.0001839945","FALSE"
"608","6","4.53672","6.32482252603648","268","0.0005161982","0.0002437205","0.1015715","0.410786688899085","4","FALSE","0.0002724777","0.0007599187","FALSE"
"610","6","4.53672","4.55933392454344","266","0.001485533","0.001981962","0.4952152","-0.0960610457282445","4","FALSE","-0.000496429","0.003467495","FALSE"
"612","12","0.8862334","2.52808474015446","660","-0.05146413","0.03475549","0.1694784","0.0978145676124961","10","FALSE","-0.08621962","-0.01670864","FALSE"
"613","17","0.9864313","0.365141210838817","660","-0.2198436","0.3726997","0.56406","-0.0424849104583005","15","FALSE","-0.5925433","0.1528561","FALSE"
"614","17","1.061884","2.01475131505369","600","-0.04923676","0.02778664","0.09670827","0.117963305642027","15","FALSE","-0.0770234","-0.02145012","FALSE"
"616","10","1.06094","2.21809929984483","390","0.03737399","0.04201599","0.3996818","-0.0237460223101755","8","FALSE","-0.004642","0.07938998","FALSE"
"617","26","1.1943637","2.60882454382072","840","0.01656569","0.01860718","0.3821508","-0.00836508822046866","24","FALSE","-0.00204149","0.03517287","FALSE"
"618","17","1.1314319","2.60201616219584","570","-0.01288289","0.008247404","0.1391227","0.0825695258038621","15","FALSE","-0.021130294","-0.004635486","FALSE"
"619","17","1.225484","2.92613893326248","690","0.08162938","0.07322907","0.2825157","0.0149350845761518","15","FALSE","0.00840031000000001","0.15485845","FALSE"
"620","11","1.6284378","1.40130445688751","540","0.2416856","0.119532","0.07389113","0.235953525056243","9","FALSE","0.1221536","0.3612176","FALSE"
