"tsID","n.steps","age.range","tot.mean","total_N","slope","slope.se","slope.p","adj.r.sq","df","sig","slope.min","slope.max","overlap.slope"
1,6,3.7152,2.05390657664308,386,-0.1751555,0.4123548,0.6928574,-0.19604960308895,4,FALSE,-0.5875103,0.2371993,FALSE
3,7,4.25184,2.55769378945327,475,-0.1318904,0.1355423,0.3752148,-0.00893903877586721,5,FALSE,-0.2674327,0.00365190000000001,FALSE
4,7,4.25184,3.76531010840131,466,-0.1472236,0.1007244,0.2036848,0.159241810179173,5,FALSE,-0.247948,-0.0464992,FALSE
6,7,4.25184,2.54768648328791,482,-0.0939374,0.107412,0.4218309,-0.040791861583219,5,FALSE,-0.2013494,0.0134746,FALSE
7,7,4.25184,1.23144574674547,465,-0.005680738,0.06564036,0.9343934,-0.198205147833254,5,FALSE,-0.071321098,0.059959622,FALSE
9,8,0.865,-1.27004414603749,240,-0.001214195,0.03960224,0.9765353,-0.166483913463984,6,FALSE,-0.040816435,0.038388045,FALSE
10,53,1.14086,-0.757572013027954,1590,0.0006350322,0.005567687,0.9096407,-0.0193478307557664,51,FALSE,-0.0049326548,0.0062027192,FALSE
77,8,2.72511363636364,3.01956555642339,400,-0.04322936,0.03823449,0.3013676,0.0382424651983991,6,FALSE,-0.08146385,-0.00499487,FALSE
78,8,4.98425,1.54750633888527,400,0.2099924,0.1421284,0.1900163,0.144563757664713,6,FALSE,0.067864,0.3521208,FALSE
79,10,1.56269117647059,3.07714301336188,300,-0.01164304,0.02062436,0.5878689,-0.0819007593720511,8,FALSE,-0.0322674,0.00898132,FALSE
80,8,6.44108823529412,1.48784981480102,400,0.09797108,0.1684974,0.5821131,-0.104436779759418,6,FALSE,-0.07052632,0.26646848,FALSE
202,10,0.2233,-1.87268691801708,997,0.02670614,0.05446823,0.6370806,-0.092179906874198,8,FALSE,-0.02776209,0.08117437,FALSE
203,10,0.2233,-2.85519968086625,997,0.0002240742,0.03569754,0.9951454,-0.124994459264301,8,FALSE,-0.0354734658,0.0359216142,FALSE
204,10,0.2233,-1.00685982046983,997,0.03408381,0.02316523,0.1794095,0.114593845089977,8,FALSE,0.01091858,0.05724904,FALSE
205,10,0.2233,-1.97356983099931,997,0.2252395,0.093527,0.04262225,0.34781787248457,8,FALSE,0.1317125,0.3187665,FALSE
206,10,0.2233,-1.2953092408101,997,0.0828966,0.03329534,0.0375377,0.366142879970892,8,FALSE,0.04960126,0.11619194,FALSE
207,10,0.2233,-1.20314150893309,997,0.09112438,0.03536341,0.03277911,0.385241302482927,8,FALSE,0.05576097,0.12648779,FALSE
208,10,0.2233,-0.89165293521357,997,0.06706642,0.024527,0.02567088,0.418488028828271,8,FALSE,0.04253942,0.09159342,FALSE
209,10,0.2233,-0.700808467098837,997,0.03765516,0.02739301,0.2065178,0.0899529310241365,8,FALSE,0.01026215,0.06504817,FALSE
210,10,0.2233,0.167207242476134,997,0.03484855,0.06959163,0.6300259,-0.0908088309756527,8,FALSE,-0.03474308,0.10444018,FALSE
295,13,1.488372093,4.00408372628931,814,0.0004015852,0.02286571,0.9863022,-0.0908785016054865,11,FALSE,-0.0224641248,0.0232672952,FALSE
308,9,1.232558139,0.933362030115412,479,0.01883574,0.2140678,0.9323492,-0.141594510898585,7,FALSE,-0.19523206,0.23290354,FALSE
312,9,0.0248,-0.69223689363475,495,-0.0063815,0.01218878,0.6167486,-0.0997908773671512,7,FALSE,-0.01857028,0.00580728,FALSE
313,9,0.0248,-0.691141671980649,495,0.1224428,0.05594553,0.06481187,0.321459030821677,7,FALSE,0.06649727,0.17838833,FALSE
325,11,2.256512,4.23443464995353,633,-0.02849785,0.01310299,0.05765034,0.271680850212504,9,FALSE,-0.04160084,-0.01539486,FALSE
326,11,2.256512,4.78822965519746,635,-0.01658746,0.04303954,0.7088915,-0.0930713566472061,9,FALSE,-0.059627,0.02645208,FALSE
327,11,2.256512,4.58739868437871,637,0.005094739,0.05943523,0.9335663,-0.110204717870037,9,FALSE,-0.054340491,0.064529969,FALSE
329,11,2.256512,3.52465004462075,637,-0.02433298,0.03844558,0.5425309,-0.0637632685508549,9,FALSE,-0.06277856,0.0141126,FALSE
330,11,2.256512,4.44387612370884,634,0.05090667,0.06484923,0.4526211,-0.0399090512797013,9,FALSE,-0.01394256,0.1157559,FALSE
333,6,1.53400384,4.14622065008852,304,0.01679765,0.0157498,0.3462787,0.0267617726161565,4,FALSE,0.00104785,0.03254745,FALSE
334,6,1.53400384,4.76312729464835,303,0.0120089,0.0244932,0.6496025,-0.179136913005723,4,FALSE,-0.0124843,0.0365021,FALSE
335,6,1.53400384,4.57825543452931,306,0.03011563,0.05287833,0.5994581,-0.156240225230295,4,FALSE,-0.0227627,0.08299396,FALSE
337,6,1.53400384,3.54358333280521,302,-0.04643083,0.03043728,0.201838,0.209739167123241,4,FALSE,-0.07686811,-0.01599355,FALSE
